ElapsedTime,Time,01.TargetTemp,01.State
0,2010-01-05T00:54:39.115Z,700,0
9939,2010-01-05T00:54:49.054Z,700,0
19943,2010-01-05T00:54:59.058Z,700,0
29948,2010-01-05T00:55:09.063Z,700,0
39954,2010-01-05T00:55:19.069Z,700,0
49955,2010-01-05T00:55:29.070Z,700,0
59961,2010-01-05T00:55:39.076Z,700,0
69964,2010-01-05T00:55:49.079Z,700,0
79970,2010-01-05T00:55:59.085Z,700,0
89974,2010-01-05T00:56:09.089Z,700,0
99976,2010-01-05T00:56:19.091Z,700,0
109983,2010-01-05T00:56:29.098Z,700,0
119986,2010-01-05T00:56:39.101Z,700,0
129992,2010-01-05T00:56:49.107Z,700,0
139996,2010-01-05T00:56:59.111Z,700,0
150000,2010-01-05T00:57:09.115Z,700,0
160005,2010-01-05T00:57:19.120Z,700,0
170008,2010-01-05T00:57:29.123Z,700,0
180014,2010-01-05T00:57:39.129Z,700,0
190017,2010-01-05T00:57:49.132Z,700,0
200023,2010-01-05T00:57:59.138Z,700,0
210026,2010-01-05T00:58:09.141Z,700,0
220029,2010-01-05T00:58:19.144Z,700,0
230037,2010-01-05T00:58:29.152Z,700,0
240047,2010-01-05T00:58:39.162Z,700,0
250054,2010-01-05T00:58:49.169Z,700,0
260057,2010-01-05T00:58:59.172Z,700,0
270061,2010-01-05T00:59:09.176Z,700,0
280068,2010-01-05T00:59:19.183Z,700,0
290071,2010-01-05T00:59:29.186Z,700,0
300074,2010-01-05T00:59:39.189Z,700,0
310080,2010-01-05T00:59:49.195Z,700,0
320085,2010-01-05T00:59:59.200Z,700,0
330087,2010-01-05T01:00:09.202Z,700,0
340101,2010-01-05T01:00:19.216Z,700,0
350099,2010-01-05T01:00:29.214Z,700,0
360104,2010-01-05T01:00:39.219Z,700,0
370107,2010-01-05T01:00:49.222Z,700,0
380111,2010-01-05T01:00:59.226Z,700,0
390115,2010-01-05T01:01:09.230Z,800,2
400120,2010-01-05T01:01:19.235Z,800,2
410122,2010-01-05T01:01:29.237Z,800,2
420127,2010-01-05T01:01:39.242Z,800,2
430132,2010-01-05T01:01:49.247Z,800,2
440137,2010-01-05T01:01:59.252Z,800,2
450140,2010-01-05T01:02:09.255Z,800,2
460147,2010-01-05T01:02:19.262Z,800,2
470149,2010-01-05T01:02:29.264Z,800,2
480158,2010-01-05T01:02:39.273Z,800,2
490160,2010-01-05T01:02:49.275Z,800,2
500163,2010-01-05T01:02:59.278Z,800,2
510172,2010-01-05T01:03:09.287Z,800,2
520170,2010-01-05T01:03:19.285Z,800,2
530178,2010-01-05T01:03:29.293Z,800,2
540180,2010-01-05T01:03:39.295Z,800,2
550186,2010-01-05T01:03:49.301Z,800,2
560189,2010-01-05T01:03:59.304Z,800,2
570195,2010-01-05T01:04:09.310Z,800,2
580200,2010-01-05T01:04:19.315Z,800,2
590203,2010-01-05T01:04:29.318Z,800,2
600209,2010-01-05T01:04:39.324Z,800,2
610210,2010-01-05T01:04:49.325Z,800,2
620215,2010-01-05T01:04:59.330Z,800,2
630219,2010-01-05T01:05:09.334Z,800,2
640223,2010-01-05T01:05:19.338Z,800,2
650228,2010-01-05T01:05:29.343Z,800,2
660232,2010-01-05T01:05:39.347Z,800,2
670239,2010-01-05T01:05:49.354Z,800,2
680241,2010-01-05T01:05:59.356Z,800,2
690245,2010-01-05T01:06:09.360Z,800,2
700253,2010-01-05T01:06:19.368Z,800,2
710254,2010-01-05T01:06:29.369Z,800,2
720260,2010-01-05T01:06:39.375Z,800,2
730265,2010-01-05T01:06:49.380Z,800,2
740267,2010-01-05T01:06:59.382Z,800,2
750273,2010-01-05T01:07:09.388Z,800,2
760278,2010-01-05T01:07:19.393Z,800,2
770283,2010-01-05T01:07:29.398Z,800,2
780286,2010-01-05T01:07:39.401Z,800,2
790291,2010-01-05T01:07:49.406Z,800,2
800295,2010-01-05T01:07:59.410Z,800,2
810298,2010-01-05T01:08:09.413Z,800,2
820303,2010-01-05T01:08:19.418Z,800,2
830309,2010-01-05T01:08:29.424Z,800,2
840312,2010-01-05T01:08:39.427Z,800,2
850315,2010-01-05T01:08:49.430Z,800,2
860319,2010-01-05T01:08:59.434Z,800,2
870324,2010-01-05T01:09:09.439Z,800,2
880330,2010-01-05T01:09:19.445Z,800,2
890339,2010-01-05T01:09:29.454Z,800,2
900340,2010-01-05T01:09:39.455Z,800,2
910342,2010-01-05T01:09:49.457Z,800,2
920347,2010-01-05T01:09:59.462Z,800,2
930353,2010-01-05T01:10:09.468Z,800,2
940359,2010-01-05T01:10:19.474Z,800,2
950359,2010-01-05T01:10:29.474Z,800,2
960366,2010-01-05T01:10:39.481Z,800,2
970368,2010-01-05T01:10:49.483Z,800,2
980373,2010-01-05T01:10:59.488Z,800,2
990379,2010-01-05T01:11:09.494Z,800,2
1000382,2010-01-05T01:11:19.497Z,800,2
1010386,2010-01-05T01:11:29.501Z,800,2
1020391,2010-01-05T01:11:39.506Z,800,2
1030395,2010-01-05T01:11:49.510Z,800,2
1040399,2010-01-05T01:11:59.514Z,800,2
1050408,2010-01-05T01:12:09.523Z,800,2
1060409,2010-01-05T01:12:19.524Z,800,2
1070411,2010-01-05T01:12:29.526Z,800,2
1080416,2010-01-05T01:12:39.531Z,800,2
1090430,2010-01-05T01:12:49.545Z,800,2
1100436,2010-01-05T01:12:59.551Z,800,2
1110448,2010-01-05T01:13:09.563Z,800,2
1120450,2010-01-05T01:13:19.565Z,800,2
1130450,2010-01-05T01:13:29.565Z,800,2
1140455,2010-01-05T01:13:39.570Z,800,2
1150459,2010-01-05T01:13:49.574Z,800,2
1160462,2010-01-05T01:13:59.577Z,800,2
1170465,2010-01-05T01:14:09.580Z,800,2
1180472,2010-01-05T01:14:19.587Z,800,2
1190476,2010-01-05T01:14:29.591Z,800,2
1200482,2010-01-05T01:14:39.597Z,800,2
1210484,2010-01-05T01:14:49.599Z,800,2
1220489,2010-01-05T01:14:59.604Z,800,2
1230495,2010-01-05T01:15:09.610Z,800,2
1240495,2010-01-05T01:15:19.610Z,800,3
1250502,2010-01-05T01:15:29.617Z,800,3
1260507,2010-01-05T01:15:39.622Z,800,3
1270512,2010-01-05T01:15:49.627Z,800,3
1280515,2010-01-05T01:15:59.630Z,800,3
1290520,2010-01-05T01:16:09.635Z,800,3
1300524,2010-01-05T01:16:19.639Z,800,3
1310527,2010-01-05T01:16:29.642Z,800,3
1320537,2010-01-05T01:16:39.652Z,800,3
1330539,2010-01-05T01:16:49.654Z,800,3
